file,property,level,seed,encoder,n_test,k1,k2,trust_k1,trust_k2,cont_k1,cont_k2,eff_rank,hubness_k1,hubness_k2,auc_logistic_lin,auc_rule_lin,auc_logistic_knn,auc_rule_knn
syn_eid-high_seed0.csv,eid,high,0,TransTab_native,2000,44,88,0.924254219855655,0.8835814074479738,0.9170256893998167,0.900464001460387,1.2077193530685122,-0.4118542491694742,-0.5303428916295551,0.9707102841136453,0.9645502498354517,0.9975195078031213,0.9875731197448804
syn_eid-high_seed0.csv,eid,high,0,TransTab_d4,2000,44,88,0.906260473235066,0.8684859133503712,0.9133266744246186,0.8976358981380066,1.1739585927858491,-0.661645509226779,-0.6760912517879852,0.9668227290916367,0.9649349686199256,0.9940796318527412,0.9871884009604064
syn_eid-high_seed1.csv,eid,high,1,TransTab_native,2000,44,88,0.942266526788443,0.9085458561518802,0.9270389131814656,0.9106476116587563,1.1269489832505386,-0.4853838212430095,-0.5425668382395077,0.9729286998010654,0.958576480990274,0.9956920878513875,0.993646109637489
syn_eid-high_seed1.csv,eid,high,1,TransTab_d4,2000,44,88,0.9358559959564614,0.9027537726664233,0.9246157815548817,0.9087320007301936,1.1028405476300134,-0.6059649517795721,-0.5856821043073476,0.9716838582882028,0.9482493368700264,0.9949405798319664,0.9871430150309461
syn_eid-high_seed2.csv,eid,high,2,TransTab_native,2000,44,88,0.9410304088205562,0.9065871242545941,0.9364277452570703,0.9214695691858342,1.3189898946531862,-0.419585683534953,-0.49970214529168566,0.9826839826839827,0.9789462889261277,0.9948144948144948,0.9912612589023879
syn_eid-high_seed2.csv,eid,high,2,TransTab_d4,2000,44,88,0.9347319216211769,0.9002878818303517,0.9340623398453112,0.9195992850188633,1.2451114068131794,-0.5356723019781536,-0.5675429710079996,0.9795669795669796,0.9712090664711633,0.9932354932354932,0.9908925080296048
syn_eid-high_seed3.csv,eid,high,3,TransTab_native,2000,44,88,0.931863853821379,0.8962562705366922,0.9286780391188847,0.9120955366922234,1.276041302074152,-0.5174550339004209,-0.582298669883311,0.9763694693784457,0.9812581990157003,0.9933130860240547,0.9939107947091804
syn_eid-high_seed3.csv,eid,high,3,TransTab_d4,2000,44,88,0.9107742200907445,0.882863377753438,0.9258887262853516,0.9099999300231227,1.2491134874596943,-0.8844535211577608,-0.7622244705181337,0.970532362182748,0.9778114790397647,0.985641316515262,0.9931389383266905
syn_eid-high_seed4.csv,eid,high,4,TransTab_native,2000,44,88,0.9878338035122364,0.9796586923451381,0.9872309224910079,0.9804718267007424,1.595071177721138,-0.4485152343805923,-0.32184791690543246,0.9943302317248806,0.9942158761461506,0.9983030728842957,0.9962823086485861
syn_eid-high_seed4.csv,eid,high,4,TransTab_d4,2000,44,88,0.9876043855937184,0.9793746349032494,0.9871102745844794,0.9801857916514543,1.5127489467463135,-0.48250198479382844,-0.30633472855325034,0.9943342350917121,0.9940719807321682,0.9982810543667224,0.9960228251151754
syn_eid-low_seed0.csv,eid,low,0,TransTab_native,2000,44,88,0.9452739908785293,0.9056943927224048,0.9229537990455369,0.9058674546671535,1.2816556148637746,-0.30524763545137873,-0.4871811499551669,0.9634413765506202,0.9228453430486414,0.9983213285314125,0.9953729454626359
syn_eid-low_seed0.csv,eid,low,0,TransTab_d4,2000,44,88,0.9398915708677151,0.8994403827430936,0.9198346028163716,0.9035328343677741,1.2389531754616279,-0.5108646690636436,-0.6707170732612454,0.9632282913165267,0.9145599836842155,0.9986459583833533,0.9923531347628186
syn_eid-low_seed1.csv,eid,low,1,TransTab_native,2000,44,88,0.9486976984742694,0.9182710965072411,0.9322652749371135,0.9151470183765364,1.3784813465376822,-0.2872668589382106,-0.3925001925552333,0.9794661190965093,0.9842771883289124,0.9958677065696411,0.990738284703802
syn_eid-low_seed1.csv,eid,low,1,TransTab_d4,2000,44,88,0.9303934692150363,0.9044055281732992,0.9264396701694995,0.910561308871851,1.3010847927957365,-0.7201869792730805,-0.6502505923427057,0.9739804107576722,0.9849270557029177,0.988753897634801,0.9919860742705571
syn_eid-low_seed2.csv,eid,low,2,TransTab_native,2000,44,88,0.9496872663798576,0.9186255780698551,0.9386793556198133,0.9215376353900451,1.449557806590394,-0.3900004744911167,-0.6744369516202973,0.9793789793789794,0.9646479192850161,0.9973694973694973,0.9908106846110878
syn_eid-low_seed2.csv,eid,low,2,TransTab_d4,2000,44,88,0.9360098326163105,0.9062850797127906,0.936222794273221,0.9197332451016186,1.3779950564841237,-0.5038057696010995,-0.8568306773337161,0.9786689786689787,0.9488527265745007,0.996949996949997,0.9805762114229855
syn_eid-low_seed3.csv,eid,low,3,TransTab_native,2000,44,88,0.9857308931048264,0.9784193531702567,0.9797501645626161,0.9728651910672995,1.6487548681161017,-0.5349275394925983,-0.8303853875379965,0.9992947454030905,0.9952665045663818,0.9997889238014923,0.9969668864211767
syn_eid-low_seed3.csv,eid,low,3,TransTab_d4,2000,44,88,0.9765159331875779,0.972025392479007,0.9776847039048358,0.9711985761226725,1.546668074640495,-0.8422788697087744,-1.142652855866538,0.9991997110957055,0.9915691140467418,0.999758412787016,0.9927932218684983
syn_eid-low_seed4.csv,eid,low,4,TransTab_native,2000,44,88,0.8972714225262712,0.8445034106121455,0.9067272492183276,0.8904267615918219,1.1454426271139349,-0.5432363948349375,-0.8136179330510342,0.9339094178203871,0.8668212559474805,0.9914082743587356,0.9869078762688155
