property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
redundancy,high,PCA,auc_logistic_lin,0.9396465513996004,0.9313551239924117,0.9479379788067891,5
redundancy,low,PCA,auc_logistic_lin,0.8113471849964089,0.772064249800511,0.8506301201923068,5
redundancy,mid,PCA,auc_logistic_lin,0.8739101592090831,0.8564144712497689,0.8914058471683973,5
redundancy,high,TabNet,auc_logistic_lin,0.9662040446411329,0.954832248158945,0.9775758411233207,10
redundancy,low,TabNet,auc_logistic_lin,0.7010941842178946,0.6188650834492656,0.7833232849865236,10
redundancy,mid,TabNet,auc_logistic_lin,0.7961217895577318,0.7451913878362919,0.8470521912791718,10
redundancy,high,TransTab,auc_logistic_lin,0.9465039891724782,0.9324013279662612,0.9606066503786953,10
redundancy,low,TransTab,auc_logistic_lin,0.8637640911053246,0.8339693866592767,0.8935587955513725,10
redundancy,mid,TransTab,auc_logistic_lin,0.868506778963528,0.8320057739619986,0.9050077839650574,10
