property,level,encoder,mean_auc,ci_low,ci_high,n_seeds,level_num
eid,low,PCA,0.999589096054376,0.9994807128711736,0.9996974792375783,5,0
eid,mid,PCA,0.999589096054376,0.9994807128711736,0.9996974792375783,5,1
eid,high,PCA,0.999589096054376,0.9994807128711736,0.9996974792375783,5,2
eid,low,TabNet,0.9975144657373207,0.9961707763839118,0.9988581550907296,10,0
eid,mid,TabNet,0.9975144657373207,0.9961707763839118,0.9988581550907296,10,1
eid,high,TabNet,0.9975144657373207,0.9961707763839118,0.9988581550907296,10,2
eid,low,TransTab,0.9953464727600899,0.9924149637638605,0.9982779817563193,10,0
eid,mid,TransTab,0.9920159744677006,0.9870935683990042,0.996938380536397,10,1
eid,high,TransTab,0.994582032517954,0.9923076752547404,0.9968563897811675,10,2
