property,level,encoder,mean_er,ci_low,ci_high,n_seeds,level_num
eid,low,PCA,1.8173092283761818,1.8040185280196444,1.8305999287327193,5,0
eid,mid,PCA,1.8173092283761818,1.8040185280196444,1.8305999287327193,5,1
eid,high,PCA,1.8173092283761818,1.8040185280196444,1.8305999287327193,5,2
eid,low,TabNet,1.2866876971280272,1.0995758927996064,1.473799501456448,10,0
eid,mid,TabNet,1.2866876971280272,1.0995758927996064,1.473799501456448,10,1
eid,high,TabNet,1.2866876971280272,1.0995758927996064,1.473799501456448,10,2
eid,low,TransTab,1.3501484598495153,1.247299965047786,1.4529969546512445,10,0
eid,mid,TransTab,1.2866654432783793,1.2241834980962576,1.349147388460501,10,1
eid,high,TransTab,1.2808543692202576,1.1821121510322339,1.3795965874082814,10,2
