property,level,encoder,mean_er,ci_low,ci_high,n_seeds,level_num
redundancy,low,PCA,3.8281564081955928,3.8063193567916485,3.849993459599537,5,0
redundancy,mid,PCA,2.6888889110034153,2.6529547914909903,2.7248230305158403,5,1
redundancy,high,PCA,1.7267776837330655,1.7119245564365624,1.7416308110295686,5,2
redundancy,low,TabNet,1.5120755551873564,1.339791685293047,1.6843594250816658,10,0
redundancy,mid,TabNet,1.8312372067900895,1.5661603660973311,2.096314047482848,10,1
redundancy,high,TabNet,1.9527762076084614,1.6074796369900968,2.298072778226826,10,2
redundancy,low,TransTab,1.6736222449827722,1.485492035105672,1.8617524548598725,10,0
redundancy,mid,TransTab,1.3802517145555977,1.3191806342314307,1.4413227948797647,10,1
redundancy,high,TransTab,1.7244072997887911,1.3789068089233738,2.0699077906542085,10,2
