property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
skew,high,PCA,auc_rule_lin,0.8003006050619186,0.7455459786448643,0.8550552314789729,5
skew,low,PCA,auc_rule_lin,0.6831410079898155,0.6474973992652825,0.7187846167143485,5
skew,mid,PCA,auc_rule_lin,0.9114922917280236,0.873974316365388,0.9490102670906592,5
skew,high,TabNet,auc_rule_lin,0.7464790352720219,0.7269623235742088,0.765995746969835,10
skew,low,TabNet,auc_rule_lin,0.6774221624793186,0.6217849203277788,0.7330594046308585,10
skew,mid,TabNet,auc_rule_lin,0.8215129058023832,0.7617203480124488,0.8813054635923177,10
skew,high,TransTab,auc_rule_lin,0.7486312460334166,0.6836452062621655,0.8136172858046676,10
skew,low,TransTab,auc_rule_lin,0.767064361590036,0.7263294436301708,0.8077992795499012,10
skew,mid,TransTab,auc_rule_lin,0.8337995308592037,0.7811745328273803,0.8864245288910271,10
