property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
missing,high,PCA,auc_rule_knn,0.944483291409566,0.9214771179044154,0.9674894649147165,5
missing,low,PCA,auc_rule_knn,0.9124251101667668,0.87231438054931,0.9525358397842235,5
missing,mid,PCA,auc_rule_knn,0.9111742454587389,0.8832380684923921,0.9391104224250858,5
missing,high,TabNet,auc_rule_knn,0.7948806751951365,0.6965875069423307,0.8931738434479423,10
missing,low,TabNet,auc_rule_knn,0.8490405059396624,0.7697973457744232,0.9282836661049017,10
missing,mid,TabNet,auc_rule_knn,0.7117023746431607,0.6438509371505047,0.7795538121358166,10
missing,high,TransTab,auc_rule_knn,0.8196212624112841,0.7901968334366616,0.8490456913859066,10
missing,low,TransTab,auc_rule_knn,0.7919085452655967,0.7581072420576654,0.825709848473528,10
missing,mid,TransTab,auc_rule_knn,0.7445108735341273,0.7065524274289727,0.7824693196392818,10
