property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
skew,high,PCA,auc_rule_knn,0.8782306030815512,0.8340158399957295,0.9224453661673729,5
skew,low,PCA,auc_rule_knn,0.858918019573746,0.8341981568399872,0.8836378823075048,5
skew,mid,PCA,auc_rule_knn,0.9030514084387189,0.8630026096941208,0.943100207183317,5
skew,high,TabNet,auc_rule_knn,0.8033411849773481,0.744928214020335,0.8617541559343611,10
skew,low,TabNet,auc_rule_knn,0.7073409711479466,0.6514684803226771,0.763213461973216,10
skew,mid,TabNet,auc_rule_knn,0.8297952344880211,0.7704635999988951,0.889126868977147,10
skew,high,TransTab,auc_rule_knn,0.7972613041954693,0.7369684924584169,0.8575541159325216,10
skew,low,TransTab,auc_rule_knn,0.816258068469109,0.7717764973402111,0.8607396395980068,10
skew,mid,TransTab,auc_rule_knn,0.8698900258748026,0.808345062378663,0.9314349893709422,10
