property,level,encoder,mean_auc,ci_low,ci_high,n_seeds,level_num
redundancy,low,PCA,0.8034994435872825,0.7628524416697615,0.8441464455048036,5,0
redundancy,mid,PCA,0.8690632422330922,0.8493838504853563,0.8887426339808281,5,1
redundancy,high,PCA,0.9356663661425312,0.9266010867569044,0.9447316455281579,5,2
redundancy,low,TabNet,0.7401900830234807,0.6671339099793162,0.8132462560676451,10,0
redundancy,mid,TabNet,0.8085050770573015,0.7598933734680123,0.8571167806465906,10,1
redundancy,high,TabNet,0.9652156255351668,0.9551039233113322,0.9753273277590014,10,2
redundancy,low,TransTab,0.9012093805058516,0.8823469276499902,0.920071833361713,10,0
redundancy,mid,TransTab,0.9094555548207669,0.8747201419946253,0.9441909676469085,10,1
redundancy,high,TransTab,0.9644014932400615,0.9559782961575028,0.9728246903226202,10,2
