property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
missing,high,PCA,auc_logistic_lin,0.8537221483005467,0.8374498134670262,0.8699944831340672,5
missing,low,PCA,auc_logistic_lin,0.8746171721217108,0.8298616684928288,0.9193726757505927,5
missing,mid,PCA,auc_logistic_lin,0.8942923283793887,0.8620175276225259,0.9265671291362514,5
missing,high,TabNet,auc_logistic_lin,0.7647623159538104,0.7173500916903518,0.812174540217269,10
missing,low,TabNet,auc_logistic_lin,0.8212786157435106,0.7772393904314511,0.8653178410555701,10
missing,mid,TabNet,auc_logistic_lin,0.832198295842989,0.7855966140614968,0.8787999776244811,10
missing,high,TransTab,auc_logistic_lin,0.7634275631703943,0.69478676688332,0.8320683594574686,10
missing,low,TransTab,auc_logistic_lin,0.785086341953803,0.7570322045788684,0.8131404793287376,10
missing,mid,TransTab,auc_logistic_lin,0.7049524604466254,0.6204169344503592,0.7894879864428916,10
