property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
skew,high,PCA,auc_logistic_knn,0.870665868103009,0.8513028290629877,0.8900289071430304,5
skew,low,PCA,auc_logistic_knn,0.8848360258058744,0.8647045193286049,0.9049675322831439,5
skew,mid,PCA,auc_logistic_knn,0.8690632422330922,0.8493838504853563,0.8887426339808281,5
skew,high,TabNet,auc_logistic_knn,0.8747968845696169,0.8287188476315558,0.920874921507678,10
skew,low,TabNet,auc_logistic_knn,0.8529273347499775,0.804472035364973,0.901382634134982,10
skew,mid,TabNet,auc_logistic_knn,0.8085050770573015,0.7598933734680123,0.8571167806465906,10
skew,high,TransTab,auc_logistic_knn,0.8820581238864029,0.8433882641696778,0.920727983603128,10
skew,low,TransTab,auc_logistic_knn,0.9016114208553534,0.8724518639719797,0.9307709777387271,10
skew,mid,TransTab,auc_logistic_knn,0.9080724122051727,0.8765315711517119,0.9396132532586334,10
