property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
redundancy,high,PCA,auc_rule_lin,0.9607135310697356,0.942042754944801,0.9793843071946701,5
redundancy,low,PCA,auc_rule_lin,0.8770556698986287,0.823438295372539,0.9306730444247184,5
redundancy,mid,PCA,auc_rule_lin,0.9114922917280236,0.873974316365388,0.9490102670906592,5
redundancy,high,TabNet,auc_rule_lin,0.9020738045474925,0.8917631912589942,0.9123844178359909,10
redundancy,low,TabNet,auc_rule_lin,0.698829979204501,0.5988840279316754,0.7987759304773265,10
redundancy,mid,TabNet,auc_rule_lin,0.8215129058023832,0.7617203480124488,0.8813054635923177,10
redundancy,high,TransTab,auc_rule_lin,0.9149356726442347,0.8862176287668027,0.9436537165216667,10
redundancy,low,TransTab,auc_rule_lin,0.7641885573761523,0.6431329366323595,0.8852441781199452,10
redundancy,mid,TransTab,auc_rule_lin,0.8185041275343359,0.7660942294153936,0.8709140256532781,10
