property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
redundancy,high,PCA,auc_rule_knn,0.954903123260298,0.9351138639742013,0.9746923825463948,5
redundancy,low,PCA,auc_rule_knn,0.8672101913469424,0.8102772532208464,0.9241431294730384,5
redundancy,mid,PCA,auc_rule_knn,0.9030514084387189,0.8630026096941208,0.943100207183317,5
redundancy,high,TabNet,auc_rule_knn,0.8956652831704088,0.8842184678701825,0.9071120984706351,10
redundancy,low,TabNet,auc_rule_knn,0.7232011070296671,0.6014077954944617,0.8449944185648726,10
redundancy,mid,TabNet,auc_rule_knn,0.8297952344880211,0.7704635999988951,0.889126868977147,10
redundancy,high,TransTab,auc_rule_knn,0.9296377443484211,0.9053669503174631,0.9539085383793791,10
redundancy,low,TransTab,auc_rule_knn,0.7996432248052534,0.6948320589484489,0.9044543906620579,10
redundancy,mid,TransTab,auc_rule_knn,0.8902114455474971,0.8452322242155954,0.9351906668793988,10
