property,level,encoder,metric,mean_auc,ci_low,ci_high,n_seeds
missing,high,PCA,auc_rule_lin,0.9369357226967925,0.9085028618212616,0.9653685835723234,5
missing,low,PCA,auc_rule_lin,0.9163918691068259,0.8784525250230145,0.9543312131906373,5
missing,mid,PCA,auc_rule_lin,0.9153735260217732,0.8884602520825785,0.942286799960968,5
missing,high,TabNet,auc_rule_lin,0.7740748810653048,0.6717773012153169,0.8763724609152926,10
missing,low,TabNet,auc_rule_lin,0.8507728444510774,0.7810252730985506,0.9205204158036041,10
missing,mid,TabNet,auc_rule_lin,0.7173833484970144,0.6687300564963858,0.7660366404976429,10
missing,high,TransTab,auc_rule_lin,0.7601845687290629,0.6809160728934744,0.8394530645646514,10
missing,low,TransTab,auc_rule_lin,0.7544766877014147,0.7041366994045146,0.8048166759983149,10
missing,mid,TransTab,auc_rule_lin,0.7215700511111582,0.6268098377392574,0.8163302644830591,10
