file,property,level,seed,encoder,n_test,k1,k2,trust_k1,trust_k2,cont_k1,cont_k2,eff_rank,hubness_k1,hubness_k2,auc_logistic_lin,auc_rule_lin,auc_logistic_knn,auc_rule_knn
syn_eid-mid_seed2.csv,eid,mid,2,TabNet_d4,2000,44,88,0.891528076,0.884273847,0.934637351,0.923493252,1.942682301,-0.792750514,-0.517872541,0.928761742,0.851511165,0.964867441,0.935114182
syn_eid-mid_seed3.csv,eid,mid,3,TabNet_native,2000,44,88,0.918336166,0.890122514,0.936981845,0.925390057,2.354111258,-0.659923461,-0.967954148,0.988276707,0.996289385,0.990204755,0.998089177
syn_eid-mid_seed3.csv,eid,mid,3,TabNet_d4,2000,44,88,0.868900974,0.857965328,0.93315781,0.922735685,2.036883504,-1.112059295,-1.088269213,0.984983625,0.977926139,0.987896197,0.992811579
syn_eid-mid_seed4.csv,eid,mid,4,TabNet_native,2000,44,88,0.939420269,0.925592409,0.93401839,0.918417071,4.065888372,-0.416101105,-0.275712197,0.979709435,0.975571693,0.983302243,0.97652711
syn_eid-mid_seed4.csv,eid,mid,4,TabNet_d4,2000,44,88,0.907104844,0.891093173,0.927278193,0.910777145,3.273340099,-0.544346827,-0.354514069,0.966795529,0.931945547,0.980672151,0.962919722
syn_missing-high_seed0.csv,missing,high,0,TabNet_native,2000,44,88,0.70269583,0.69959976,0.776333962,0.768614236,1.848944187,1.268787229,0.618586493,0.679448035,0.895499818,0.682987322,0.871930207
syn_missing-high_seed0.csv,missing,high,0,TabNet_d4,2000,44,88,0.671205715,0.669166563,0.75976534,0.752285935,1.490945099,0.735115951,0.243666684,0.608506289,0.768244275,0.664022286,0.803046165
syn_missing-high_seed1.csv,missing,high,1,TabNet_native,2000,44,88,0.66578668,0.665461446,0.734970185,0.736387562,1.886940488,1.584996738,0.631855157,0.685887879,0.693042387,0.699123503,0.65107362
syn_missing-high_seed1.csv,missing,high,1,TabNet_d4,2000,44,88,0.643638762,0.640277066,0.703538907,0.705203024,1.646340937,1.016937467,-0.057229029,0.611049993,0.604654676,0.687280074,0.65059142
syn_missing-high_seed2.csv,missing,high,2,TabNet_native,2000,44,88,0.635569457,0.636496446,0.724079143,0.733833282,2.876935959,5.319236327,3.16042953,0.622212883,0.74053008,0.646942339,0.701591286
syn_missing-high_seed2.csv,missing,high,2,TabNet_d4,2000,44,88,0.623902485,0.62303351,0.719452165,0.729224063,2.482915602,5.255423725,2.917726968,0.554418512,0.642856209,0.627133959,0.68947685
syn_missing-high_seed3.csv,missing,high,3,TabNet_native,2000,44,88,0.692930696,0.696625423,0.805650722,0.804490453,2.147678735,1.43115119,0.877933761,0.698798266,0.727917672,0.739108818,0.687888439
syn_missing-high_seed3.csv,missing,high,3,TabNet_d4,2000,44,88,0.666125197,0.668111117,0.783714084,0.784551536,1.926291639,0.770812397,0.021513853,0.618285201,0.614597569,0.713867706,0.62138299
syn_missing-high_seed4.csv,missing,high,4,TabNet_native,2000,44,88,0.660734055,0.654058184,0.716682623,0.709953721,1.647184293,1.038929234,0.542566908,0.650635175,0.863401015,0.68546029,0.852656514
syn_missing-high_seed4.csv,missing,high,4,TabNet_d4,2000,44,88,0.631132397,0.627090504,0.709658703,0.702954339,1.490184739,1.381144757,0.612815528,0.585317347,0.815549915,0.654892397,0.813891709
syn_missing-low_seed0.csv,missing,low,0,TabNet_native,2000,44,88,0.722505337,0.714363013,0.721809948,0.709659237,1.839053868,-0.27112565,-0.301903705,0.64428657,0.918614324,0.612322504,0.884324359
syn_missing-low_seed0.csv,missing,low,0,TabNet_d4,2000,44,88,0.702676388,0.703016405,0.719131903,0.707598661,1.541361134,-0.437999673,-0.412500609,0.618304297,0.816928221,0.602498522,0.857425093
syn_missing-low_seed1.csv,missing,low,1,TabNet_native,2000,44,88,0.704148365,0.700982567,0.706953123,0.700123646,1.76782704,-0.467332723,-0.477084428,0.621923669,0.753956868,0.600285374,0.72704417
syn_missing-low_seed1.csv,missing,low,1,TabNet_d4,2000,44,88,0.700633778,0.699565693,0.70662545,0.699842735,1.718042799,-0.500091404,-0.474296121,0.62329899,0.746617461,0.602343352,0.718996656
syn_missing-low_seed2.csv,missing,low,2,TabNet_native,2000,44,88,0.727516926,0.722996821,0.74786272,0.733252814,1.54068466,-0.393887441,-0.355687939,0.722082372,0.811102963,0.706558494,0.773928049
syn_missing-low_seed2.csv,missing,low,2,TabNet_d4,2000,44,88,0.709629287,0.708155303,0.745568869,0.731035317,1.422386091,-0.683928106,-0.516913311,0.685590957,0.768780116,0.695229123,0.763621825
