file,property,level,seed,encoder,n_test,k1,k2,trust_k1,trust_k2,cont_k1,cont_k2,eff_rank,hubness_k1,hubness_k2,auc_logistic_lin,auc_rule_lin,auc_logistic_knn,auc_rule_knn
syn_eid-high_seed0.csv,eid,high,0,TransTab_native,2000,44,88,0.9710011166748947,0.9651744766946574,0.9817171227402026,0.9772674698795181,2.210533731241858,-0.8413459680346357,-0.9399396531339309,0.9621339205284758,0.9618548387096775,0.9848989090181164,0.9753475422427036
syn_eid-high_seed1.csv,eid,high,1,TransTab_native,2000,44,88,0.9638319227966241,0.9554786844347085,0.9768496955591602,0.9700601527321406,2.7166334411538253,-0.47568672217682795,-0.6151752440153768,0.9476701562564074,0.9512382087181015,0.9746887223940846,0.9609035845496972
syn_eid-high_seed2.csv,eid,high,2,TransTab_native,2000,44,88,0.9739438723934457,0.9729920774005112,0.9794038895549757,0.9746810849458439,2.512026214503132,-1.1030122690243203,-1.1145256289485777,0.9714178841753212,0.9773712203289668,0.9759505368773104,0.9769930773451901
syn_eid-high_seed3.csv,eid,high,3,TransTab_native,2000,44,88,0.9747961186731552,0.9674696908847511,0.9769789947575053,0.9679213916271145,1.9351293900819633,-0.7222383349580526,-0.8185238606247732,0.9522328058201455,0.9510814866815426,0.9888682217055427,0.9773620249356194
syn_eid-high_seed4.csv,eid,high,4,TransTab_native,2000,44,88,0.9677262030702682,0.9666102196665449,0.9831286762112984,0.9801685469149325,2.1707804173594605,-1.3029342098479422,-1.382549523075729,0.9569963241729388,0.95096436744034,0.9783756345177665,0.9600456887560516
syn_eid-low_seed0.csv,eid,low,0,TransTab_native,2000,44,88,0.9718988997813668,0.9664405287817939,0.984900962691304,0.9815889710356578,2.465361694699929,-0.9146697805335805,-1.0759386954603785,0.9721469322390152,0.9729377880184332,0.9853618256430787,0.978821044546851
syn_eid-low_seed1.csv,eid,low,1,TransTab_native,2000,44,88,0.9734169428967723,0.9701084276499939,0.9806935550226862,0.9758851162224657,2.5511207555510054,-1.0760993820110967,-1.2137580364528264,0.9660482621563043,0.9675384768146164,0.9752853232196241,0.9705550590805283
syn_eid-low_seed2.csv,eid,low,2,TransTab_native,2000,44,88,0.9628462573759315,0.9516782037239868,0.9671344652890425,0.9578887641474991,2.1298640970691753,-0.3279670589611876,-0.506219006471133,0.9383551231377318,0.8997762800579702,0.9822094381590949,0.9711872634407845
syn_eid-low_seed3.csv,eid,low,3,TransTab_native,2000,44,88,0.9584744986717446,0.9486568881586954,0.9589549392293768,0.9496840604843617,2.586438934766549,-0.9282834255336266,-0.7892256354337746,0.9454586364659117,0.9743659540327867,0.9739083477086927,0.9739092905060547
syn_eid-low_seed4.csv,eid,low,4,TransTab_native,2000,44,88,0.963614382772645,0.9589506389193136,0.9744688506476714,0.9669027260557381,2.024419355649066,-0.8519894126829415,-0.7952511177584355,0.9505498737215873,0.91198882298915,0.9831322047460679,0.9524276529833902
syn_eid-mid_seed0.csv,eid,mid,0,TransTab_native,2000,44,88,0.9722333615440675,0.9626494432274553,0.9655368855349461,0.953932098089327,1.4572592193179306,-0.561311428719259,-0.6069401455945437,0.9703132819537583,0.9768087557603687,0.986377239515564,0.988465821812596
syn_eid-mid_seed1.csv,eid,mid,1,TransTab_native,2000,44,88,0.9613909067400146,0.9547379883169039,0.9709568669628794,0.9618426615553122,2.122212889380637,-0.9358465313208112,-0.9407096833816201,0.9573767966786386,0.9491808162049449,0.9725728648141536,0.9538655545626055
syn_eid-mid_seed2.csv,eid,mid,2,TransTab_native,2000,44,88,0.9781483884618097,0.9723565474017282,0.9858863930225451,0.9816728641840088,2.700799347724865,-0.49324592073458134,-0.9154921785668662,0.9689735321886352,0.9791265072955213,0.9869521211054393,0.9901049654570782
syn_eid-mid_seed3.csv,eid,mid,3,TransTab_native,2000,44,88,0.9705193713708066,0.9682099580138737,0.9830782612784165,0.9783153492758915,2.1257846038979746,-1.2828853914977594,-1.2228020689263845,0.9602680067001674,0.9773638157729791,0.9789854746368659,0.980123496144327
syn_eid-mid_seed4.csv,eid,mid,4,TransTab_native,2000,44,88,0.9685261889649012,0.9620456827309237,0.9707460152337964,0.9614545515394913,2.1377309336435815,-1.1325254668522413,-1.2160703251172416,0.9712745367707735,0.9608648951571476,0.9815828561426321,0.9716838680552312
syn_missing-high_seed0.csv,missing,high,0,TransTab_native,2000,44,88,0.6130110609586947,0.5953819216258975,0.5033261454733526,0.4598021479858829,6.517973726383083,0.9528057539688987,0.3017249165822769,0.665507406099894,0.6887095601599418,0.6739300883371553,0.7101199563794983
syn_missing-high_seed1.csv,missing,high,1,TransTab_native,2000,44,88,0.5956946129252181,0.5839851649020324,0.5305008051813715,0.49517297675550687,5.102019102105942,1.518866749445222,0.43239479313243184,0.6971687186392858,0.7109244283324039,0.6980739712082592,0.6653304517568321
syn_missing-high_seed2.csv,missing,high,2,TransTab_native,2000,44,88,0.6169485154101135,0.6068523244493125,0.5249757857864918,0.4835857125471583,5.859034905368251,1.4195882756006577,0.20222650994655877,0.7015844903064415,0.6348278612429555,0.715226516572858,0.6902025392591431
syn_missing-high_seed3.csv,missing,high,3,TransTab_native,2000,44,88,0.6151591790676352,0.5982882530120481,0.5027688306650681,0.45767161068516493,6.935980913407757,1.180295216189488,0.4223396541528737,0.7055386994705088,0.6764744328647312,0.7125982479675163,0.6275267079416762
