file,property,level,seed,encoder,eff_rank,auc_logistic_knn
syn_eid-high_seed0.csv,eid,high,0,TabNet_native,1.7203739534177553,0.9989570828331333
syn_eid-high_seed0.csv,eid,high,0,TabNet_d4,1.719992150340615,0.9989570828331333
syn_eid-high_seed1.csv,eid,high,1,TabNet_native,1.0156647986874234,0.9996957943569853
syn_eid-high_seed1.csv,eid,high,1,TabNet_d4,1.0154567786635968,0.999694793680528
syn_eid-high_seed2.csv,eid,high,2,TabNet_native,1.0367731066443842,0.9981644981644981
syn_eid-high_seed2.csv,eid,high,2,TabNet_d4,1.0365031479670521,0.9981644981644981
syn_eid-high_seed3.csv,eid,high,3,TabNet_native,1.5499457762526636,0.9969383947605086
syn_eid-high_seed3.csv,eid,high,3,TabNet_d4,1.5161537301248245,0.9969018815792501
syn_eid-high_seed4.csv,eid,high,4,TabNet_native,1.1280067628733685,0.9938353155003358
syn_eid-high_seed4.csv,eid,high,4,TabNet_d4,1.1280067663085886,0.9938353155003358
syn_eid-low_seed0.csv,eid,low,0,TabNet_native,1.7203739534177553,0.9989570828331333
syn_eid-low_seed0.csv,eid,low,0,TabNet_d4,1.719992150340615,0.9989570828331333
syn_eid-low_seed1.csv,eid,low,1,TabNet_native,1.0156647986874234,0.9996957943569853
syn_eid-low_seed1.csv,eid,low,1,TabNet_d4,1.0154567786635968,0.999694793680528
syn_eid-low_seed2.csv,eid,low,2,TabNet_native,1.0367731066443842,0.9981644981644981
syn_eid-low_seed2.csv,eid,low,2,TabNet_d4,1.0365031479670521,0.9981644981644981
syn_eid-low_seed3.csv,eid,low,3,TabNet_native,1.5499457762526636,0.9969383947605086
syn_eid-low_seed3.csv,eid,low,3,TabNet_d4,1.5161537301248245,0.9969018815792501
syn_eid-low_seed4.csv,eid,low,4,TabNet_native,1.1280067628733685,0.9938353155003358
syn_eid-low_seed4.csv,eid,low,4,TabNet_d4,1.1280067663085886,0.9938353155003358
syn_eid-mid_seed0.csv,eid,mid,0,TabNet_native,1.7203739534177553,0.9989570828331333
syn_eid-mid_seed0.csv,eid,mid,0,TabNet_d4,1.719992150340615,0.9989570828331333
syn_eid-mid_seed1.csv,eid,mid,1,TabNet_native,1.0156647986874234,0.9996957943569853
syn_eid-mid_seed1.csv,eid,mid,1,TabNet_d4,1.0154567786635968,0.999694793680528
syn_eid-mid_seed2.csv,eid,mid,2,TabNet_native,1.0367731066443842,0.9981644981644981
syn_eid-mid_seed2.csv,eid,mid,2,TabNet_d4,1.0365031479670521,0.9981644981644981
syn_eid-mid_seed3.csv,eid,mid,3,TabNet_native,1.5499457762526636,0.9969383947605086
syn_eid-mid_seed3.csv,eid,mid,3,TabNet_d4,1.5161537301248245,0.9969018815792501
syn_eid-mid_seed4.csv,eid,mid,4,TabNet_native,1.1280067628733685,0.9938353155003358
syn_eid-mid_seed4.csv,eid,mid,4,TabNet_d4,1.1280067663085886,0.9938353155003358
syn_missing-high_seed0.csv,missing,high,0,TabNet_native,1.4465537539443767,0.8980342591891824
syn_missing-high_seed0.csv,missing,high,0,TabNet_d4,1.417920331578804,0.8964958752743509
syn_missing-high_seed1.csv,missing,high,1,TabNet_native,1.5794093146911534,0.9245065955871821
syn_missing-high_seed1.csv,missing,high,1,TabNet_d4,1.5311035249199787,0.924224621588891
syn_missing-high_seed2.csv,missing,high,2,TabNet_native,1.421993171625836,0.8158249702975303
syn_missing-high_seed2.csv,missing,high,2,TabNet_d4,1.3762216777809333,0.8090634242523824
syn_missing-high_seed3.csv,missing,high,3,TabNet_native,1.4319019561396202,0.8311593568090576
syn_missing-high_seed3.csv,missing,high,3,TabNet_d4,1.4300438530371546,0.8309781081873022
syn_missing-high_seed4.csv,missing,high,4,TabNet_native,3.0250023161372854,0.8989952406134321
syn_missing-high_seed4.csv,missing,high,4,TabNet_d4,2.79758168829259,0.8990667573216489
syn_missing-low_seed0.csv,missing,low,0,TabNet_native,1.8880848847099985,0.8347568199282787
syn_missing-low_seed0.csv,missing,low,0,TabNet_d4,1.750967615353214,0.8331939196977459
syn_missing-low_seed1.csv,missing,low,1,TabNet_native,2.060499961840282,0.7617362026614949
syn_missing-low_seed1.csv,missing,low,1,TabNet_d4,1.9933892709603118,0.7609132509747195
syn_missing-low_seed2.csv,missing,low,2,TabNet_native,2.0310370971498655,0.8314783314783316
syn_missing-low_seed2.csv,missing,low,2,TabNet_d4,1.9936228592347103,0.7592567592567592
syn_missing-low_seed3.csv,missing,low,3,TabNet_native,1.9886111194691611,0.942527821780594
syn_missing-low_seed3.csv,missing,low,3,TabNet_d4,1.9055362771465967,0.9219425043202765
syn_missing-low_seed4.csv,missing,low,4,TabNet_native,3.1753645929444523,0.7947428971588636
syn_missing-low_seed4.csv,missing,low,4,TabNet_d4,3.0781379653689913,0.7942747098839537
syn_missing-mid_seed0.csv,missing,mid,0,TabNet_native,1.1551170902938699,0.8686970534484467
syn_missing-mid_seed0.csv,missing,mid,0,TabNet_d4,1.1386662461514683,0.8361966608349812
syn_missing-mid_seed1.csv,missing,mid,1,TabNet_native,1.5262060957958403,0.8184100338662044
syn_missing-mid_seed1.csv,missing,mid,1,TabNet_d4,1.4938845771479505,0.809756396058038
syn_missing-mid_seed2.csv,missing,mid,2,TabNet_native,1.4492435495956328,0.8853052097219876
syn_missing-mid_seed2.csv,missing,mid,2,TabNet_d4,1.4267844069140565,0.8851131941687278
syn_missing-mid_seed3.csv,missing,mid,3,TabNet_native,1.234191377632929,0.9100210603369654
